name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies,artistname
HAMLET ハムレット,2019-09-08,2019-06-08,92,1,0,67000,1,67000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-08,2019-06-08,92,1,0,68000,1,68000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-08,2019-06-08,92,1,1,70000,1,70000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-08,2019-06-08,92,1,1,70000,1,70000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-08,2019-06-08,92,1,1,70000,1,70000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-08,2019-06-08,92,1,1,72000,1,72000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-08,2019-06-08,92,1,1,75000,2,37500.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-08,2019-06-08,92,1,1,97500,2,48750.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-08,2019-06-08,92,1,1,100000,2,50000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-08,2019-06-08,92,1,1,115000,1,115000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-08,2019-06-08,92,1,1,130000,1,130000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-09,2019-06-08,93,1,0,40000,1,40000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-09,2019-06-08,93,1,1,50000,1,50000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-09,2019-06-08,93,1,1,55000,2,27500.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-09,2019-06-08,93,1,1,75500,1,75500.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-10,2019-06-08,94,1,0,40000,2,20000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-10,2019-06-08,94,1,1,80000,1,80000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-10,2019-06-08,94,1,0,41000,1,41000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-10,2019-06-08,94,1,1,48000,1,48000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-11,2019-06-08,95,1,0,45000,2,22500.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-11,2019-06-08,95,1,1,55000,1,55000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-13,2019-06-08,97,1,0,40000,2,20000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-13,2019-06-08,97,1,0,55000,1,55000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-13,2019-06-08,97,1,1,69000,1,69000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-14,2019-06-08,98,1,1,50000,2,25000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-14,2019-06-08,98,1,1,52000,1,52000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-14,2019-06-08,98,1,1,65000,1,65000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-14,2019-06-08,98,1,1,67000,2,33500.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-16,2019-06-08,100,1,1,40000,1,40000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-16,2019-06-08,100,1,1,42000,2,21000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-16,2019-06-08,100,1,1,70000,2,35000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-16,2019-06-08,100,1,1,42000,1,42000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-16,2019-06-08,100,1,1,80000,2,40000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-17,2019-06-08,101,1,1,46000,2,23000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-17,2019-06-08,101,1,1,55000,2,27500.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-17,2019-06-08,101,1,1,80000,1,80000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-18,2019-06-08,102,1,1,50000,2,25000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-18,2019-06-08,102,1,1,55000,2,27500.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-18,2019-06-08,102,1,1,60000,1,60000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-20,2019-06-08,104,1,0,41000,1,41000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-20,2019-06-08,104,1,1,60000,1,60000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-21,2019-06-08,105,1,1,55000,2,27500.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-21,2019-06-08,105,1,1,50000,1,50000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-21,2019-06-08,105,1,1,65000,2,32500.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-24,2019-06-08,108,1,1,45000,1,45000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-24,2019-06-08,108,1,1,47000,2,23500.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-24,2019-06-08,108,1,1,50000,2,25000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-24,2019-06-08,108,1,1,50000,2,25000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-24,2019-06-08,108,1,1,50000,1,50000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-25,2019-06-08,109,1,1,50000,1,50000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-25,2019-06-08,109,1,1,75000,1,75000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-25,2019-06-08,109,1,1,53000,1,53000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-27,2019-06-08,111,1,0,50000,1,50000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-28,2019-06-08,112,1,0,40000,1,40000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-28,2019-06-08,112,1,1,41000,2,20500.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-28,2019-06-08,112,1,1,45000,2,22500.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-28,2019-06-08,112,1,1,45000,2,22500.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-29,2019-06-08,113,1,0,40000,1,40000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-29,2019-06-08,113,1,1,60000,2,30000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-30,2019-06-08,114,1,1,35000,2,17500.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-09-30,2019-06-08,114,1,1,75000,2,37500.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-10-01,2019-06-08,115,1,0,39000,1,39000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-10-01,2019-06-08,115,1,1,42000,1,42000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-10-01,2019-06-08,115,1,0,42000,2,21000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-10-01,2019-06-08,115,1,1,45000,1,45000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-10-01,2019-06-08,115,1,0,45000,2,22500.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-10-01,2019-06-08,115,1,1,50000,1,50000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-10-01,2019-06-08,115,1,1,45000,2,22500.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-10-01,2019-06-08,115,1,1,50000,2,25000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-10-01,2019-06-08,115,1,1,50000,1,50000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-10-02,2019-06-08,116,1,0,40000,1,40000.0,0,0,セクシーゾーン
HAMLET ハムレット,2019-10-02,2019-06-08,116,1,0,40000,1,40000.0,0,0,セクシーゾーン
