name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies,artistname
山内惠介「全国縦断コンサートツアー」チケット,2019-06-30,2019-06-30,0,0,1,4000,1,4000.0,1,0,演歌
氷川きよし 「デビュー20周年記念コンサート~龍翔鳳舞~」 7/11 (木) 夜の部 日本武道館 チケット1枚,2019-07-11,2019-06-30,11,0,1,9000,1,9000.0,1,0,演歌
氷川きよし デビュー20周年記念コンサート 7月12日夜の部ペア,2019-07-12,2019-06-30,12,0,1,15000,1,15000.0,1,0,演歌
氷川きよしデビュー20周年記念コンサート,2019-07-04,2019-06-30,4,0,1,5000,1,5000.0,1,0,演歌
氷川きよしデビュー20周年記念コンサート,2019-07-04,2019-06-30,4,0,1,5000,1,5000.0,1,0,演歌
氷川きよし7月12日 夜 日本武道館 2階2枚,2019-07-12,2019-06-30,12,0,1,13000,2,6500.0,1,0,演歌
2019純烈コンサートチケット 札幌市民ホール 2枚セット!,2019-07-06,2019-06-30,6,0,1,9800,2,4900.0,1,0,演歌
◎NHKみんなの広場 ふれあいホール 7月10日 吉木りさのタミウタ 入場整理券 女性名義◎,2019-07-10,2019-06-30,10,0,1,1980,1,1980.0,1,0,演歌
★島津亜矢スペシャルコンサートご招待券・7/27(土)・アクトシティ浜松(1枚),2019-07-27,2019-06-30,27,0,1,2000,1,2000.0,1,0,演歌
【1~4枚連番】梅沢富美男劇団特別公演 INサザンクス筑後チケット,2019-07-01,2019-06-30,1,0,1,4500,4,1125.0,1,0,演歌
みちのく娘!南会津公演2019年7月14日,2019-07-14,2019-06-30,14,0,1,2000,1,2000.0,1,0,演歌
大阪新歌舞伎座★市川由紀乃特別公演島倉千代子七回忌追善人生いろいろオンステージ特別割引,2019-07-06,2019-06-30,6,0,1,300,1,300.0,1,0,演歌
♪舟木一夫 コンサート 2019フェスティバルホール7月22日月14時~または夜18時~♪新品,2019-07-22,2019-06-30,22,0,1,300,1,300.0,1,0,演歌
中澤卓也コンサート故郷から全国へ・追加公演・感謝を込めて特別バージョン宣伝用チラシ50枚セット,2019-07-03,2019-06-30,3,0,1,3000,50,60.0,1,0,演歌
