name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies
HAMLET ハムレット,2019-09-08,2019-07-01,69,1,0,45000,1,45000.0,1,1
HAMLET ハムレット,2019-09-08,2019-07-01,69,1,0,45000,2,22500.0,1,1
HAMLET ハムレット,2019-09-08,2019-07-01,69,1,1,47500,1,47500.0,1,1
HAMLET ハムレット,2019-09-08,2019-07-01,69,1,1,70000,1,70000.0,1,1
HAMLET ハムレット,2019-09-08,2019-07-01,69,1,1,75000,2,37500.0,1,1
HAMLET ハムレット,2019-09-08,2019-07-01,69,1,1,90000,1,90000.0,1,1
HAMLET ハムレット,2019-09-08,2019-07-01,69,1,1,97500,2,48750.0,1,1
HAMLET ハムレット,2019-09-08,2019-07-01,69,1,1,100000,2,50000.0,1,1
HAMLET ハムレット,2019-09-08,2019-07-01,69,1,1,115000,1,115000.0,1,1
HAMLET ハムレット,2019-09-09,2019-07-01,70,1,1,40000,1,40000.0,1,1
HAMLET ハムレット,2019-09-10,2019-07-01,71,1,1,38500,1,38500.0,1,1
HAMLET ハムレット,2019-09-10,2019-07-01,71,1,1,39000,1,39000.0,1,1
HAMLET ハムレット,2019-09-10,2019-07-01,71,1,1,43000,1,43000.0,1,1
HAMLET ハムレット,2019-09-13,2019-07-01,74,1,1,55000,1,55000.0,1,1
HAMLET ハムレット,2019-09-13,2019-07-01,74,1,1,69000,1,69000.0,1,1
HAMLET ハムレット,2019-09-14,2019-07-01,75,1,1,40000,1,40000.0,1,1
HAMLET ハムレット,2019-09-14,2019-07-01,75,1,1,40000,1,40000.0,1,1
HAMLET ハムレット,2019-09-14,2019-07-01,75,1,1,65000,1,65000.0,1,1
HAMLET ハムレット,2019-09-16,2019-07-01,77,1,1,38000,1,38000.0,1,1
HAMLET ハムレット,2019-09-16,2019-07-01,77,1,1,33000,1,33000.0,1,1
HAMLET ハムレット,2019-09-17,2019-07-01,78,1,1,32000,2,16000.0,1,1
HAMLET ハムレット,2019-09-17,2019-07-01,78,1,1,55000,2,27500.0,1,1
HAMLET ハムレット,2019-09-18,2019-07-01,79,1,1,50000,2,25000.0,1,1
HAMLET ハムレット,2019-09-20,2019-07-01,81,1,1,43500,1,43500.0,1,1
HAMLET ハムレット,2019-09-20,2019-07-01,81,1,1,45000,2,22500.0,1,1
HAMLET ハムレット,2019-09-21,2019-07-01,82,1,1,35000,2,17500.0,1,1
HAMLET ハムレット,2019-09-21,2019-07-01,82,1,1,35500,2,17750.0,1,1
HAMLET ハムレット,2019-09-21,2019-07-01,82,1,1,34900,2,17450.0,1,1
HAMLET ハムレット,2019-09-21,2019-07-01,82,1,1,65000,2,32500.0,1,1
HAMLET ハムレット,2019-09-24,2019-07-01,85,1,1,32000,2,16000.0,1,1
